Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
58318-13438,P,Drew,Drew Pomeranz,Pomeranz,7.416666666666667,12,5700,PIT@SD,SD,PIT,,,,,,P
58318-38161,P,Chase,Chase Anderson,Anderson,17.8,5,5700,MIL@PHI,PHI,MIL,,,,,0,P
58318-21919,P,Matt,Matt Andriese,Andriese,6.2,10,5700,DET@BOS,BOS,DET,,,,,0,P
58318-52887,P,Tyler,Tyler Matzek,Matzek,5.75,12,5700,ATL@WSH,ATL,WSH,,,,,0,P
58318-79882,P,Austin,Austin Pruitt,Pruitt,,,5600,HOU@NYY,HOU,NYY,IL,Elbow,,,0,P
58318-135192,P,Ryan,Ryan Thompson,Thompson,5.615384615384615,13,5600,TB@LAA,TB,LAA,,,,,0,P
58318-71742,P,Grant,Grant Dayton,Dayton,3.5714285714285716,7,5600,ATL@WSH,ATL,WSH,,,,,0,P
58318-52195,P,Daniel,Daniel Norris,Norris,2.7777777777777777,9,5600,DET@BOS,DET,BOS,,,,,0,P
58318-82935,P,Trevor,Trevor Richards,Richards,11.4,5,5600,TB@LAA,TB,LAA,,,,,0,P
58318-38002,P,Kyle,Kyle Zimmer,Zimmer,6.636363636363637,11,5600,CLE@KC,KC,CLE,IL,Back,,,0,P
58318-83165,P,Lewis,Lewis Thorpe,Thorpe,9,2,5600,TEX@MIN,MIN,TEX,,,,,,P
58318-101855,P,Trent,Trent Thornton,Thornton,7.875,8,5600,TOR@OAK,TOR,OAK,,,,,,P
58318-73301,P,Brent,Brent Suter,Suter,7.818181818181818,11,5600,MIL@PHI,MIL,PHI,,,,,0,P
58318-110219,P,Sean,Sean Poppen,Poppen,4.666666666666667,3,5600,PIT@SD,PIT,SD,,,,,,P
58318-73363,P,Felix,Felix Pena,Pena,5.96,25,5600,TB@LAA,LAA,TB,IL,Hamstring,,,,P
58318-53043,P,Jesse,Jesse Hahn,Hahn,0.8,5,5600,CLE@KC,KC,CLE,IL,Shoulder,,,0,P
58318-6018,P,Wade,Wade LeBlanc,LeBlanc,2.8333333333333335,6,5600,MIL@PHI,MIL,PHI,,,,,0,P
58318-81925,P,Richard,Richard Rodriguez,Rodriguez,6.363636363636363,11,5500,PIT@SD,PIT,SD,,,,,,P
58318-79895,P,Miguel,Miguel Diaz,Diaz,18,1,5500,PIT@SD,SD,PIT,,,,,,P
58318-135198,P,Daniel,Daniel Tillo,Tillo,,,5500,CLE@KC,KC,CLE,IL,Elbow,,,0,P
58318-135196,P,Tyler,Tyler Zuber,Zuber,5.714285714285714,7,5500,CLE@KC,KC,CLE,,,,,0,P
58318-135209,P,Andre,Andre Scrubb,Scrubb,0,1,5500,HOU@NYY,HOU,NYY,,,,,0,P
58318-102449,P,Zac,Zac Lowther,Lowther,6,1,5500,BAL@SEA,BAL,SEA,,,,,,P
58318-135225,P,Steven,Steven Fuentes,Fuentes,,,5500,ATL@WSH,WSH,ATL,,,,,0,P
58318-79937,P,Cesar,Cesar Valdez,Valdez,7.666666666666667,12,5500,BAL@SEA,BAL,SEA,,,,,,P
58318-104512,P,Geoff,Geoff Hartlieb,Hartlieb,4.904761904761905,21,5500,PIT@SD,PIT,SD,,,,,,P
58318-149577,P,Louis,Louis Head,Head,2,3,5500,TB@LAA,TB,LAA,,,,,0,P
58318-102481,P,Bryan,Bryan Garcia,Garcia,4.222222222222222,9,5500,DET@BOS,DET,BOS,,,,,0,P
58318-149587,P,Jay,Jay Flaa,Flaa,7,1,5500,BAL@SEA,BAL,SEA,,,,,,P
58318-135258,P,Ramon,Ramon Rosso,Rosso,4,1,5500,MIL@PHI,PHI,MIL,,,,,0,P
58318-79960,P,Paul,Paul Fry,Fry,6.076923076923077,13,5500,BAL@SEA,BAL,SEA,,,,,,P
58318-6234,P,Jordan,Jordan Zimmermann,Zimmermann,-4,1,5500,MIL@PHI,MIL,PHI,,,,,0,P
58318-135256,P,Connor,Connor Brogdon,Brogdon,4.333333333333333,12,5500,MIL@PHI,PHI,MIL,,,,,0,P
58318-135257,P,Damon,Damon Jones,Jones,,,5500,MIL@PHI,PHI,MIL,,,,,0,P
58318-135262,P,Anthony,Anthony Misiewicz,Misiewicz,3.6923076923076925,13,5500,BAL@SEA,SEA,BAL,,,,,,P
